mass_A
t	x
1.970301667E1	-9.111097234E-1
1.971970000E1	1.496672778E0
1.973638333E1	3.069147451E0
1.975306667E1	4.069690648E0
1.976975000E1	4.273338337E0
1.978643333E1	3.758005119E0
1.980311667E1	2.101981375E0
1.981980000E1	1.403366274E-2
1.983648333E1	-2.213587402E0
1.985316667E1	-4.976329048E0
1.986985000E1	-7.175930104E0
1.988653333E1	-9.142783427E0
1.990321667E1	-1.031883282E1
1.991990000E1	-1.078290534E1
1.993658333E1	-1.055568898E1
1.995326667E1	-9.412045964E0
1.996995000E1	-7.209690284E0
1.998663333E1	-4.937993662E0
2.000331667E1	-2.037965613E0
2.002000000E1	2.600920663E-1
2.003668333E1	2.164446466E0
2.005336667E1	3.930593646E0
2.007005000E1	4.732139202E0
2.008673333E1	4.628901329E0
2.010341667E1	3.816719898E0
2.012010000E1	1.960707486E0
2.013678333E1	-1.399931734E-1
2.015346667E1	-2.802116785E0
2.017015000E1	-4.939505230E0
2.018683333E1	-6.995543331E0
2.020351667E1	-8.955568218E0
2.022020000E1	-1.008009355E1
2.023688333E1	-1.100830277E1
2.025356667E1	-1.104928973E1
2.027025000E1	-1.101333403E1
2.028693333E1	-1.093822115E1
2.030361667E1	-9.991639552E0
2.032030000E1	-8.913899177E0
2.033698333E1	-6.897892599E0
2.035366667E1	-4.117982058E0
2.037035000E1	-1.816830090E0
2.038703333E1	8.898187112E-1
2.040371667E1	2.949212320E0
2.042040000E1	4.057964839E0
2.043708333E1	3.710401944E0
2.045376667E1	1.831285052E0
2.047045000E1	-1.030885132E0
2.048713333E1	-3.747840044E0
2.050381667E1	-5.047316270E0
2.052050000E1	-5.877189722E0
2.053718333E1	-5.976765698E0
2.055386667E1	-6.834427122E0
2.057055000E1	-8.119878975E0
2.058723333E1	-1.098754300E1
2.060391667E1	-1.400971961E1
2.062060000E1	-1.496676511E1
2.063728333E1	-2.571810873E0
2.065396667E1	1.916893030E1
2.067065000E1	4.127786988E1
2.068733333E1	5.356538942E1
2.070401667E1	5.697643820E1
2.072070000E1	5.720414447E1
2.073738333E1	5.382107483E1
2.075406667E1	4.047791828E1
2.077075000E1	1.876571491E1
2.078743333E1	-2.001230173E0
2.080411667E1	-1.982320631E1
2.082080000E1	-3.823211941E1
2.083748333E1	-5.613317640E1
2.085416667E1	-6.537031414E1
2.087085000E1	-6.405897665E1
2.088753333E1	-5.991067801E1
2.090421667E1	-5.192532026E1
2.092090000E1	-3.478667783E1
2.093758333E1	-1.194166690E1
2.095426667E1	8.325833345E0
2.097095000E1	2.512300395E1
2.098763333E1	4.230616807E1
2.100431667E1	5.634821033E1
2.102100000E1	6.047126966E1
2.103768333E1	5.493845514E1
2.105436667E1	4.530542434E1
2.107105000E1	3.282325813E1
2.108773333E1	1.421082380E1
2.110441667E1	-9.576814987E0
2.112110000E1	-3.053096035E1
2.113778333E1	-4.579888011E1
2.115446667E1	-5.777563248E1
2.117115000E1	-6.709976114E1
2.118783333E1	-6.702157299E1
2.120451667E1	-5.704236397E1
2.122120000E1	-4.445985285E1
2.123788333E1	-2.899714835E1
2.125456667E1	-8.180710269E0
2.127125000E1	1.504746256E1
2.128793333E1	3.399833291E1
2.130461667E1	4.657442269E1
2.132130000E1	5.560353704E1
2.133798333E1	5.993813978E1
2.135466667E1	5.560331780E1
2.137135000E1	4.203692931E1
2.138803333E1	2.444288523E1
2.140471667E1	6.327009503E0
2.142140000E1	-1.388788905E1
2.143808333E1	-3.506942763E1
2.145476667E1	-5.195861429E1
2.147145000E1	-6.091234654E1
2.148813333E1	-6.404360831E1
2.150481667E1	-6.332095787E1
2.152150000E1	-5.418073982E1
2.153818333E1	-3.761541506E1
2.155486667E1	-1.843340736E1
2.157155000E1	6.365491259E-1
2.158823333E1	2.038610234E1
2.160491667E1	3.956672236E1
2.162160000E1	5.302781516E1
2.163828333E1	5.783608227E1
2.165496667E1	5.652421798E1
2.167165000E1	5.058870663E1
2.168833333E1	3.808305243E1
2.170501667E1	1.882428805E1
2.172170000E1	-2.799615003E0
2.173838333E1	-2.205329385E1
2.175506667E1	-3.900729091E1
2.177175000E1	-5.410535750E1
2.178843333E1	-6.360539058E1
2.180511667E1	-6.388060034E1
2.182180000E1	-5.766970501E1
2.183848333E1	-4.791657012E1
2.185516667E1	-3.209442689E1
2.187185000E1	-1.108091362E1
2.188853333E1	1.065379434E1
2.190521667E1	2.875427275E1
2.192190000E1	4.367373660E1
2.193858333E1	5.542012673E1
2.195526667E1	6.014990247E1
2.197195000E1	5.589502223E1
2.198863333E1	4.480019059E1
2.200531667E1	3.000570285E1
2.202200000E1	1.232170913E1
2.203868333E1	-8.855024189E0
2.205536667E1	-2.992339883E1
2.207205000E1	-4.602446050E1
2.208873333E1	-5.647141342E1
2.210541667E1	-6.265107923E1
2.212210000E1	-6.287271477E1
2.213878333E1	-5.457338982E1
2.215546667E1	-3.985890302E1
2.217215000E1	-2.299283085E1
2.218883333E1	-4.020718868E0
2.220551667E1	1.709078880E1
2.222220000E1	3.622761808E1
2.223888333E1	4.910135090E1
2.225556667E1	5.580629033E1
2.227225000E1	5.733912302E1
2.228893333E1	5.265675302E1
2.230561667E1	4.024255719E1
2.232230000E1	2.209492639E1
2.233898333E1	2.372177144E0
2.235566667E1	-1.692316629E1
2.237235000E1	-3.554645903E1
2.238903333E1	-5.185217416E1
2.240571667E1	-6.137233575E1
2.242240000E1	-6.294051526E1
2.243908333E1	-5.958490223E1
2.245576667E1	-5.090184992E1
2.247245000E1	-3.525196531E1
2.248913333E1	-1.510095898E1
2.250581667E1	4.960297253E0
2.252250000E1	2.344030645E1
2.253918333E1	3.971151941E1
2.255586667E1	5.240433388E1
2.257255000E1	5.745982315E1
2.258923333E1	5.463527443E1
2.260591667E1	4.604573475E1
2.262260000E1	3.282949424E1
2.263928333E1	1.506476465E1
2.265596667E1	-6.055016083E0
2.267265000E1	-2.621802284E1
2.268933333E1	-4.249201991E1
2.270601667E1	-5.467280287E1
2.272270000E1	-6.260627787E1
2.273938333E1	-6.336012471E1
2.275606667E1	-5.604906302E1
